date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-10-20,96,289,0,2022-10-20 05:13:00+0000,2022-10-20 11:38:00+0000,0,
2022-10-21,125,251,0,2022-10-21 05:10:00+0000,2022-10-21 11:26:00+0000,0,
2022-10-22,118,368,0,2022-10-22 04:47:00+0000,2022-10-22 12:53:00+0000,0,
2022-10-23,0,0,0,2022-10-22 04:00:00+0000,2022-10-22 04:00:00+0000,0,
2022-10-24,177,296,0,2022-10-24 04:06:00+0000,2022-10-24 11:59:00+0000,0,
2022-10-25,94,332,0,2022-10-25 04:41:00+0000,2022-10-25 11:47:00+0000,0,
2022-10-26,83,370,0,2022-10-26 04:35:00+0000,2022-10-26 12:08:00+0000,0,
2022-10-27,149,285,0,2022-10-27 04:34:00+0000,2022-10-27 11:48:00+0000,0,
2022-10-28,121,331,0,2022-10-28 04:21:00+0000,2022-10-28 11:53:00+0000,0,
2022-10-29,111,421,3,2022-10-29 03:35:00+0000,2022-10-29 12:30:00+0000,0,
2022-10-30,55,300,56,2022-10-30 03:44:00+0000,2022-10-30 10:35:00+0000,0,
2022-10-31,125,325,0,2022-10-31 04:06:00+0000,2022-10-31 11:36:00+0000,0,
2022-11-01,160,289,0,2022-11-01 04:15:00+0000,2022-11-01 11:44:00+0000,0,
2022-11-02,118,322,0,2022-11-02 04:43:00+0000,2022-11-02 12:03:00+0000,0,
2022-11-03,185,235,0,2022-11-03 04:47:00+0000,2022-11-03 11:47:00+0000,0,
2022-11-04,112,351,0,2022-11-04 04:16:00+0000,2022-11-04 11:59:00+0000,0,
2022-11-05,109,340,0,2022-11-05 04:16:00+0000,2022-11-05 11:45:00+0000,0,
2022-11-06,66,195,0,2022-11-06 05:47:00+0000,2022-11-06 10:08:00+0000,0,
2022-11-07,96,269,0,2022-11-07 05:06:00+0000,2022-11-07 11:11:00+0000,0,
2022-11-08,169,276,0,2022-11-08 05:12:00+0000,2022-11-08 12:37:00+0000,0,
2022-11-09,117,292,10,2022-11-09 05:22:00+0000,2022-11-09 12:21:00+0000,0,
2022-11-10,79,73,0,2022-11-10 05:08:00+0000,2022-11-10 07:40:00+0000,0,
2022-11-11,150,285,0,2022-11-11 05:12:00+0000,2022-11-11 12:27:00+0000,0,
2022-11-12,128,287,0,2022-11-12 05:35:00+0000,2022-11-12 12:30:00+0000,0,
2022-11-13,143,311,0,2022-11-13 05:24:00+0000,2022-11-13 12:58:00+0000,0,
2022-11-14,156,231,0,2022-11-14 04:45:00+0000,2022-11-14 11:12:00+0000,0,
2022-11-15,215,282,0,2022-11-15 04:41:00+0000,2022-11-15 12:58:00+0000,0,
2022-11-16,122,332,0,2022-11-16 05:23:00+0000,2022-11-16 12:57:00+0000,0,
2022-11-17,126,353,0,2022-11-17 05:22:00+0000,2022-11-17 13:21:00+0000,0,
2022-11-18,203,255,0,2022-11-18 05:28:00+0000,2022-11-18 13:06:00+0000,0,
2022-11-19,92,361,0,2022-11-19 05:13:00+0000,2022-11-19 12:46:00+0000,0,
2022-11-20,101,265,0,2022-11-20 06:18:00+0000,2022-11-20 12:24:00+0000,0,
2022-11-21,139,338,0,2022-11-21 05:00:00+0000,2022-11-21 12:57:00+0000,0,
2022-11-22,161,269,0,2022-11-22 05:42:00+0000,2022-11-22 12:52:00+0000,0,
2022-11-23,139,325,0,2022-11-23 05:45:00+0000,2022-11-23 13:29:00+0000,0,
2022-11-24,129,357,3,2022-11-24 05:10:00+0000,2022-11-24 13:19:00+0000,0,
2022-11-25,211,291,3,2022-11-25 05:03:00+0000,2022-11-25 13:28:00+0000,0,
2022-11-26,134,322,3,2022-11-26 04:49:00+0000,2022-11-26 12:28:00+0000,0,
2022-11-27,102,339,0,2022-11-27 05:09:00+0000,2022-11-27 12:30:00+0000,0,
2022-11-28,139,324,0,2022-11-28 05:18:00+0000,2022-11-28 13:01:00+0000,0,
2022-11-29,103,329,0,2022-11-29 05:37:00+0000,2022-11-29 12:49:00+0000,0,
2022-11-30,120,282,0,2022-11-30 06:11:00+0000,2022-11-30 12:53:00+0000,0,
2022-12-01,144,323,0,2022-12-01 05:29:00+0000,2022-12-01 13:16:00+0000,0,
2022-12-02,128,342,16,2022-12-02 05:25:00+0000,2022-12-02 13:31:00+0000,0,
2022-12-03,110,293,0,2022-12-03 06:00:00+0000,2022-12-03 12:43:00+0000,0,
2022-12-04,157,285,0,2022-12-04 05:37:00+0000,2022-12-04 12:59:00+0000,0,
2022-12-05,144,250,18,2022-12-05 05:36:00+0000,2022-12-05 12:28:00+0000,0,
2022-12-06,124,322,0,2022-12-06 05:24:00+0000,2022-12-06 12:50:00+0000,0,
2022-12-07,130,307,0,2022-12-07 05:33:00+0000,2022-12-07 12:50:00+0000,0,
2022-12-08,169,284,0,2022-12-08 05:38:00+0000,2022-12-08 13:11:00+0000,0,
2022-12-09,128,311,0,2022-12-09 05:23:00+0000,2022-12-09 12:42:00+0000,0,
2022-12-10,132,340,0,2022-12-10 05:21:00+0000,2022-12-10 13:13:00+0000,0,
2022-12-11,168,252,0,2022-12-11 05:35:00+0000,2022-12-11 12:35:00+0000,0,
2022-12-12,92,371,0,2022-12-12 05:16:00+0000,2022-12-12 12:59:00+0000,0,
2022-12-13,152,299,0,2022-12-13 04:43:00+0000,2022-12-13 12:14:00+0000,0,
2022-12-14,123,321,0,2022-12-14 05:15:00+0000,2022-12-14 12:39:00+0000,0,
2022-12-15,148,330,0,2022-12-15 05:01:00+0000,2022-12-15 12:59:00+0000,0,
2022-12-16,155,291,0,2022-12-16 05:55:00+0000,2022-12-16 13:21:00+0000,0,
2022-12-17,172,334,2,2022-12-17 04:45:00+0000,2022-12-17 13:13:00+0000,0,
2022-12-18,79,309,91,2022-12-18 05:52:00+0000,2022-12-18 13:51:00+0000,0,
2022-12-19,126,362,0,2022-12-19 05:09:00+0000,2022-12-19 13:17:00+0000,0,
2022-12-20,149,337,0,2022-12-20 06:10:00+0000,2022-12-20 14:16:00+0000,0,
2022-12-21,142,319,0,2022-12-21 05:29:00+0000,2022-12-21 13:10:00+0000,0,
2022-12-22,120,359,16,2022-12-22 05:48:00+0000,2022-12-22 14:03:00+0000,0,
2022-12-23,194,317,0,2022-12-23 05:15:00+0000,2022-12-23 13:46:00+0000,0,
2022-12-24,113,311,0,2022-12-24 06:32:00+0000,2022-12-24 13:36:00+0000,0,
2022-12-25,165,327,0,2022-12-25 05:33:00+0000,2022-12-25 13:45:00+0000,0,
2022-12-26,130,414,0,2022-12-26 04:25:00+0000,2022-12-26 13:29:00+0000,0,
2022-12-27,91,392,0,2022-12-27 05:31:00+0000,2022-12-27 13:34:00+0000,0,
2022-12-28,157,241,0,2022-12-28 06:11:00+0000,2022-12-28 12:49:00+0000,0,
2022-12-29,146,273,0,2022-12-29 07:29:00+0000,2022-12-29 14:28:00+0000,0,
2022-12-30,100,357,0,2022-12-30 05:33:00+0000,2022-12-30 13:10:00+0000,0,
2022-12-31,162,231,9,2022-12-31 05:47:00+0000,2022-12-31 12:29:00+0000,0,
2023-01-01,127,266,0,2023-01-01 07:01:00+0000,2023-01-01 13:34:00+0000,0,
2023-01-02,119,307,0,2023-01-02 05:28:00+0000,2023-01-02 12:34:00+0000,0,
2023-01-03,0,0,0,2023-01-02 05:00:00+0000,2023-01-02 05:00:00+0000,0,
2023-01-04,265,296,10,2023-01-04 04:58:00+0000,2023-01-04 14:29:00+0000,0,
2023-01-05,162,259,0,2023-01-05 07:23:00+0000,2023-01-05 14:24:00+0000,0,
2023-01-06,110,409,2,2023-01-06 05:57:00+0000,2023-01-06 14:38:00+0000,0,
2023-01-07,90,411,0,2023-01-07 06:52:00+0000,2023-01-07 15:13:00+0000,0,
2023-01-08,112,369,8,2023-01-08 06:13:00+0000,2023-01-08 14:22:00+0000,0,
